"","FL1","FL2","FL3","FL4","FL5","FL6","FL7","FL8","FL9","FL10","FL11","FL12","FL13"
"45",0.000327954973382298,5.02659822100227e-06,0.0024628603498038,0.0015695208506801,2.64134651445369e-10,1.23238296467954e-10,4.54232234011253e-08,6.52340971948572e-08,0.000145005202188594,0.000437824909778876,1.47044348366248e-05,3.73902745880204e-08,0
"46",0.000203000805017367,3.4898098766593e-06,0,0,2.50269270397814e-09,2.55640080048658e-11,1.16118315335e-08,8.17892170589508e-08,0.00016113688472513,0,1.10872984815992e-07,6.43062411995315e-10,0.00278664459257944
"47",0.000258965529238198,1.92465096809282e-06,0,0,8.72087750129161e-10,1.71900056931367e-11,1.8694728307448e-10,0,0.000268807647091826,9.86530549073699e-07,1.47363010486407e-10,1.62769468521266e-12,0
"48",0.00361495070786013,3.8876318067613e-06,0,4.19544226991092e-05,2.87251087871418e-10,3.59745840570721e-11,2.31243501996626e-08,0,0.000517153648813264,0.00595623596929305,7.83292945954746e-06,7.25348236100492e-09,0
"49",0.000231296923880458,3.27945313887563e-06,0.00130289105822641,0.00106516239072051,2.06356749288929e-10,9.74500349669736e-11,2.78253533158102e-08,3.1558596707702e-08,0.000105498983954833,0.000356502358742143,1.10756289279115e-05,2.3407410968482e-08,0
"50",0.000142807089322968,2.67958831616357e-06,0,0,1.80854754553207e-09,1.77171592620545e-11,6.89267378449664e-09,5.13736487435495e-08,0.000105977459640566,0,9.72036950221042e-08,4.03466036955088e-10,0.00199162482111203
"51",0.00018074652931348,1.23586380028326e-06,0,0,5.84650362060458e-10,1.01268368894116e-11,1.37502125562851e-10,0,0.000179951151009409,7.79752304838357e-07,8.74673231414431e-11,9.10508406013928e-13,0
"52",0.00224724529472585,2.60231814700092e-06,0,2.4089596183916e-05,2.00677776472813e-10,2.17191686701272e-11,1.74090946748519e-08,0,0.000365699200431953,0.00483691500565507,5.25888146885601e-06,4.37859925255542e-09,0
"53",0.000169591865425024,2.01964697249298e-06,0.000720160055451573,0.000680119225647397,1.58789500708021e-10,8.07940404359016e-11,2.58110131531374e-08,1.66105073384636e-08,7.86941049921605e-05,0.000266417163457504,8.58191938562587e-06,1.34570589722132e-08,0
"54",0.000102511652910889,2.0837038466275e-06,0,0,1.24395997695733e-09,1.17327674401923e-11,5.28809112892623e-09,3.64614545323444e-08,6.75720854871033e-05,0,8.52147095576841e-08,2.26504882095433e-10,0.00140028475434907
"55",0.000128904944334445,7.34158468943012e-07,0,0,3.67822772260866e-10,5.01104476082617e-12,1.24203071760941e-10,0,0.000116256268790882,5.94388491159274e-07,4.6187851930342e-11,3.86016859607491e-13,0
"56",0.00136352336857155,1.64412278420991e-06,0,1.06669225580763e-05,1.3501929000312e-10,1.11941616698465e-11,1.47024439595317e-08,0,0.000255024191240293,0.00374827253863595,3.32836409981087e-06,2.23191903023016e-09,0
"57",8.22226026626209e-05,2.07727314335082e-06,0.000467547458227492,0.00039807727703977,8.30504450562587e-11,4.73974663939804e-11,1.41769285444759e-08,1.87231797499608e-08,6.2371545066931e-05,0.000184264083432937,4.90122650716262e-06,1.68097857291271e-08,0
"58",5.14631029583698e-05,1.19689227023217e-06,0,0,8.18724141701691e-10,6.36710842920998e-12,5.50226603808082e-09,1.35974810181704e-08,7.86588381372084e-05,0,1.53304700642698e-08,1.92619448016263e-10,0.000961022217675222
"59",6.80709531284418e-05,6.18281240849407e-07,0,0,3.36356330215809e-10,5.62247476438895e-12,7.23249314874437e-11,0,9.94001273420324e-05,6.16244940169568e-07,6.76693522773971e-11,4.34837385165491e-13,0
"60",0.00110737654196827,1.15842088687507e-06,0,1.08465760510868e-05,1.04547755634057e-10,1.12383957669425e-11,1.09336549313773e-08,0,0.000180126819316313,0.00245500827178037,2.11689596379862e-06,1.9211734576074e-09,0
"61",4.08850032164919e-05,1.17203099563139e-06,0.000134520940007442,0.000467979324095628,4.76553191026337e-11,1.1295605221666e-11,7.89767240494887e-09,6.35670528286552e-09,1.99954759036124e-05,0.000158218248762928,2.31642735541817e-06,8.7757222193135e-09,0
"62",2.89542168905087e-05,5.17975638205812e-07,0,0,6.64706922427475e-10,9.03787720882921e-12,4.60136158647463e-09,6.07320589744878e-09,3.39103323505378e-05,0,1.46815676162696e-08,2.65031814354905e-10,0.000688713405662839
"63",3.63114413392583e-05,7.4634883051183e-07,0,0,2.43233055075102e-10,8.27776595620362e-12,6.98210885233672e-11,0,7.76200535392739e-05,1.70625465870855e-07,4.92083542847161e-11,9.58413562191401e-13,0
"64",0.000784362267380515,1.33756342843078e-06,0,2.345801676679e-05,6.23489304296841e-11,1.61531461316323e-11,1.07911077765883e-08,0,0.000115992349164801,0.00167801990909434,2.84047591377791e-06,3.56335181084023e-09,0
"65",3.91120912366515e-05,7.64722414150093e-07,0.000115530879395384,0.000235284157031036,4.11849098437974e-11,2.01780448351323e-11,1.04976354389403e-08,5.3234848918293e-09,2.31240826954351e-05,0.000100092114777009,2.32049960379142e-06,5.60467520901319e-09,0
"66",2.58699416622345e-05,5.90883606640325e-07,0,0,3.93756143699112e-10,4.0547067438865e-12,3.1119159140095e-09,8.05836978933941e-09,2.6350909600227e-05,0,1.90755372520242e-08,9.84205613230886e-11,0.000460849124812997
"67",3.33697839407892e-05,2.99987548320645e-07,0,0,1.33281749894069e-10,2.59227846596977e-12,5.69445957571523e-11,0,4.31209600346605e-05,2.28762201998597e-07,2.29047064964681e-11,2.35970985400369e-13,0
"68",0.000441101814622855,5.95539927563623e-07,0,6.00731424919994e-06,4.28149888860982e-11,5.31486419421065e-12,7.17255090012959e-09,0,8.19610049326287e-05,0.00127490250107336,1.18895195176734e-06,1.05497267973162e-09,0
